id,source_type,source_file,source_line,raw_payload,transaction_type,description,amount_type,amount_description,amount_field,amount,order_id,sku,settlement_id,shipment_id,merchant_order_id,txn_date,record_ref,matched_config_id,matched_config_source,summary_field,match_ambiguous,created_at
235444,payment,data/amazon_payments_data.csv,21414,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""18.42"", ""order ID"": ""250-0857832-5931861"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 5:45:11 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""APPLECROSS NORTH"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""WA"", ""order postal"": ""6153"", ""selling fees"": ""0"", ""product sales"": ""22.35"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""2.24"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,total,18.42,250-0857832-5931861,BIO-S000004059_AU,12395580393,,,,250-0857832-5931861+BIO-S000004059_AU+,68,payment,,f,2026-09-19 12:05:05.409206+00
235445,payment,data/amazon_payments_data.csv,21415,"{""sku"": ""BIO-S000002947_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""16.96"", ""order ID"": ""250-0857832-5931861"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 5:45:11 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""APPLECROSS NORTH"", ""description"": ""BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil"", ""marketplace"": ""amazon.com.au"", ""order state"": ""WA"", ""order postal"": ""6153"", ""selling fees"": ""-3.86"", ""product sales"": ""24.54"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""2.45"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Hydro Cera-nol Real Deep Mask, Hydrating Overnight Hydrogel Mask, Moisturizing, Redness Reducing, Quick Soothing, Korean Skin Care | Big Smil",,,product_sales,24.54,250-0857832-5931861,BIO-S000002947_AU,12395580393,,,,250-0857832-5931861+BIO-S000002947_AU+,66,payment,sales_product_charges,f,2026-09-19 12:05:05.409206+00
235988,payment,data/amazon_payments_data.csv,21464,"{""sku"": ""BIO-S039570363 _AU"", ""type"": ""Refund"", ""other"": ""0"", ""total"": ""-31.87"", ""order ID"": ""249-7704858-5336629"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:21:59 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""SEAFORTH"", ""description"": ""BIODANCE Radiant Vita Niacinamide Serum, for Even Tone Dark Spot Care with Vitamin C, Hydrating for Sensitive Skin, Filter Glow Serum, Korean Skin Car"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2092"", ""selling fees"": ""4.12"", ""product sales"": ""-32.72"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""-3.03"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""3.03"", ""sales tax collected"": ""-3.27"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""0""}",Refund,"BIODANCE Radiant Vita Niacinamide Serum, for Even Tone Dark Spot Care with Vitamin C, Hydrating for Sensitive Skin, Filter Glow Serum, Korean Skin Car",,,sales_tax_collected,-3.27,249-7704858-5336629,BIO-S039570363 _AU,12395580393,,,,249-7704858-5336629+BIO-S039570363 _AU+,13,payment,refunded_expenses,f,2026-09-19 12:05:05.409206+00
236091,payment,data/amazon_payments_data.csv,21473,"{""sku"": ""BIO-S000004224_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.78"", ""order ID"": ""503-8830427-6148632"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:12 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""HAMPTON"", ""description"": ""Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3188"", ""selling fees"": ""-4.26"", ""product sales"": ""27.09"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""2.71"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.76""}",Order,"Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo",,,other_transaction_fees,0.00,503-8830427-6148632,BIO-S000004224_AU,12395580393,,,,503-8830427-6148632+BIO-S000004224_AU+,65,payment,,f,2026-09-19 12:05:05.409206+00
236092,payment,data/amazon_payments_data.csv,21473,"{""sku"": ""BIO-S000004224_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.78"", ""order ID"": ""503-8830427-6148632"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:12 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""HAMPTON"", ""description"": ""Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3188"", ""selling fees"": ""-4.26"", ""product sales"": ""27.09"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""2.71"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.76""}",Order,"Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo",,,other,0.00,503-8830427-6148632,BIO-S000004224_AU,12395580393,,,,503-8830427-6148632+12395580393+,110,payment,,f,2026-09-19 12:05:05.409206+00
236093,payment,data/amazon_payments_data.csv,21473,"{""sku"": ""BIO-S000004224_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""17.78"", ""order ID"": ""503-8830427-6148632"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:12 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""HAMPTON"", ""description"": ""Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3188"", ""selling fees"": ""-4.26"", ""product sales"": ""27.09"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""2.71"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.76""}",Order,"Biodance Collagen Gel Toner Pads, Pore Minimizer for Face, Improving Elasticity, Plumping Toner Pads for Sensitive Skin, Korean Skincare, Gifts for wo",,,total,17.78,503-8830427-6148632,BIO-S000004224_AU,12395580393,,,,503-8830427-6148632+BIO-S000004224_AU+,68,payment,,f,2026-09-19 12:05:05.409206+00
236094,payment,data/amazon_payments_data.csv,21474,"{""sku"": ""BDCEM030SAFR1A_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""30.25"", ""order ID"": ""250-0012863-2801465"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:20 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MCKINNON"", ""description"": ""BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3204"", ""selling fees"": ""-6.29"", ""product sales"": ""40.00"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""4.00"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.46""}",Order,"BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self",,,product_sales,40.00,250-0012863-2801465,BDCEM030SAFR1A_AU,12395580393,,,,250-0012863-2801465+BDCEM030SAFR1A_AU+,66,payment,sales_product_charges,f,2026-09-19 12:05:05.409206+00
236095,payment,data/amazon_payments_data.csv,21474,"{""sku"": ""BDCEM030SAFR1A_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""30.25"", ""order ID"": ""250-0012863-2801465"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:20 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MCKINNON"", ""description"": ""BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3204"", ""selling fees"": ""-6.29"", ""product sales"": ""40.00"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""4.00"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.46""}",Order,"BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self",,,shipping_credits,0.00,250-0012863-2801465,BDCEM030SAFR1A_AU,12395580393,,,,250-0012863-2801465+BDCEM030SAFR1A_AU+,67,payment,,f,2026-09-19 12:05:05.409206+00
236096,payment,data/amazon_payments_data.csv,21474,"{""sku"": ""BDCEM030SAFR1A_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""30.25"", ""order ID"": ""250-0012863-2801465"", ""quantity"": ""1"", ""date/time"": ""28 July 2026 11:28:20 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MCKINNON"", ""description"": ""BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3204"", ""selling fees"": ""-6.29"", ""product sales"": ""40.00"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Deferred"", ""promotional rebates"": ""0"", ""sales tax collected"": ""4.00"", ""other transaction fees"": ""0"", ""Transaction Release Date"": """", ""fulfilment by amazon fees"": ""-7.46""}",Order,"BIODANCE Collagen Peptide Eye Patches, Anti Wrinkle & Smile Line Patches for Face, Under Eye Mask for Fine Lines & Eye Bags, Travel Essentials & Self",,,gift_wrap_credits,0.00,250-0012863-2801465,BDCEM030SAFR1A_AU,12395580393,,,,250-0012863-2801465+BDCEM030SAFR1A_AU+,69,payment,,f,2026-09-19 12:05:05.409206+00
236329,payment,data/amazon_payments_data.csv,21495,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Refund"", ""other"": ""0"", ""total"": ""-108.87"", ""order ID"": ""249-4427438-4211068"", ""quantity"": ""5"", ""date/time"": ""28 July 2026 11:53:17 am GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""BONBEACH"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3196"", ""selling fees"": ""14.08"", ""product sales"": ""-111.75"", ""settlement ID"": ""12395580393"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""-11.20"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""28 July 2026 11:53:17 am GMT+9"", ""fulfilment by amazon fees"": ""0""}",Refund,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,sales_tax_collected,-11.20,249-4427438-4211068,BIO-S000004059_AU,12395580393,,,2026-07-28,249-4427438-4211068+BIO-S000004059_AU+2026-07-28,13,payment,refunded_expenses,f,2026-09-19 12:05:05.409206+00
